"Google United Kingdom, interface language: English"
Keyword,URL,Tags,"Search vol.",2026-03-07,Dynamics,2026-03-08,Dynamics,2026-03-09,Dynamics,2026-03-10,Dynamics
"navy ballet pumps",https://www.dunelondon.com/womens-shoes/ballet-pumps/,,30,12,0,11,1,7,4,12,-5
"Chunky Sandals",--,,23460,20,0,15,5,9,6,8,1
"chunky sandals",https://www.dunelondon.com/womens-sandals/womens-chunky-sandals/,"Current Target",6600,27,0,10,17,6,4,3,3
"black chunky sandals",https://www.dunelondon.com/womens-sandals/womens-chunky-sandals/black/,"Current Target",6600,17,0,17,0,7,10,8,-1
"white chunky sandals",https://www.dunelondon.com/womens-sandals/white/,"Current Target",250,29,0,34,-5,25,9,25,0
"sandals with chunky heels",https://www.dunelondon.com/womens-sandals/womens-block-heeled-sandals/,"Current Target",2400,12,0,9,3,1,8,1,0
"Chunky Sandals",https://www.dunelondon.com/womens-sandals/womens-chunky-sandals/,"Current Target",6600,27,0,9,18,10,-1,4,6
"chunky black sandals",https://www.dunelondon.com/womens-sandals/womens-chunky-sandals/black/,,1000,21,0,20,1,9,11,9,0
"chunky heel sandals",https://en-om.dunelondon.com/ladies/ladies-sandals/block-heel-sandals.html,,10,5,0,3,2,3,0,5,-2
"Gladiator Sandals",--,,23040,25,0,26,-1,29,-3,33,-4
"gladiator sandals",https://www.dunelondon.com/womens-sandals/womens-gladiator-sandals/,"Current Target",5400,16,0,17,-1,22,-5,21,1
"black gladiator sandals",https://www.dunelondon.com/womens-sandals/womens-gladiator-sandals/,"Current Target",120,-,0,-,0,23,77,22,1
"chunky gladiator sandals",https://www.dunelondon.com/womens-sandals/womens-gladiator-sandals/,"Current Target",50,24,0,26,-2,48,-22,-,0
"gold gladiator sandals",https://www.dunelondon.com/womens-sandals/womens-gold-sandals/,"Current Target",10,14,0,15,-1,22,-7,32,-10
"white gladiator sandals",https://www.dunelondon.com/womens-sandals/womens-gladiator-sandals/,"Current Target",1300,29,0,30,-1,35,-5,36,-1
"wide fit gladiator sandals",https://www.dunelondon.com/womens-sandals/womens-gladiator-sandals/,"Current Target",1000,17,0,22,-5,25,-3,25,0
"gladiator sandals uk",https://www.dunelondon.com/womens-sandals/womens-gladiator-sandals/,"Current Target",1600,30,0,26,4,36,-10,32,4
"ladies gladiator sandals",https://www.dunelondon.com/womens-sandals/womens-gladiator-sandals/,"Current Target",4400,23,0,26,-3,26,0,31,-5
"tan gladiator sandals",https://www.dunelondon.com/womens-sandals/womens-gladiator-sandals/,"Current Target",1000,18,0,14,4,31,-17,27,4
"gladiator sandals heels",https://www.dunelondon.com/womens-sandals/womens-gladiator-sandals/,"Current Target",1000,14,0,16,-2,28,-12,28,0
"brown gladiator sandals",https://www.dunelondon.com/womens-sandals/womens-gladiator-sandals/,"Current Target",880,19,0,22,-3,23,-1,24,-1
"leather gladiator sandals",https://www.dunelondon.com/womens-sandals/womens-gladiator-sandals/,"Current Target",880,16,0,13,3,31,-18,31,0
"Gladiator Sandals",https://www.dunelondon.com/womens-sandals/womens-gladiator-sandals/,"Current Target",5400,10,0,14,-4,25,-11,19,6
"Block Heel sandals",--,,14290,13,0,21,-8,14,7,23,-9
"block heel sandals",https://en-om.dunelondon.com/ladies/ladies-sandals/block-heel-sandals.html,"Current Target",4400,6,0,5,1,4,1,2,2
"gold block heel sandals",https://www.dunelondon.com/manifesting-block-heel-sandals-gold-0087500620006516.html,"Current Target",220,4,0,6,-2,3,3,-,0
"black block heel sandals",https://www.dunelondon.com/womens-sandals/womens-block-heeled-sandals/,"Current Target",110,3,0,24,-21,4,20,6,-2
"nude block heel sandals",https://en-om.dunelondon.com/ladies/ladies-sandals/block-heel-sandals.html,"Current Target",60,2,0,1,1,2,-1,2,0
"silver block heel sandals",https://www.dunelondon.com/womens-sandals/,"Current Target",90,-,0,-,0,-,0,-,0
"white block heel sandals",https://www.dunelondon.com/womens-sandals/womens-block-heeled-sandals/white/,"Current Target",10,11,0,38,-27,7,31,7,0
"low block heel sandals",https://en-om.dunelondon.com/ladies/ladies-sandals/block-heel-sandals.html,"Current Target",2400,1,0,3,-2,2,1,2,0
"block heeled sandals",https://www.dunelondon.com/womens-sandals/womens-block-heeled-sandals/,"Current Target",290,3,0,3,0,1,2,1,0
"pink block heel sandals",https://www.dunelondon.com/womens-sandals/womens-block-heeled-sandals/pink/dune-london/,"Current Target",1000,8,0,7,1,22,-15,19,3
"tan block heel sandals",https://www.dunelondon.com/womens-sandals/womens-block-heeled-sandals/,"Current Target",10,2,0,2,0,3,-1,9,-6
"Block Heels",https://www.dunelondon.com/womens-sandals/womens-block-heeled-sandals/,"Current Target",5700,3,0,45,-42,8,37,6,2
"Wide Fit Sandals",--,,30090,41,0,44,-3,31,13,28,3
"wide fit sandals flat",https://www.dunelondon.com/womens-wide-fit/flat-sandals/dune-london/,"Current Target",2400,16,0,-,0,13,87,13,0
"flat wide fit sandals",https://www.dunelondon.com/womens-wide-fit/flat-sandals/dune-london/,"Current Target",2900,7,0,6,1,7,-1,7,0
"wide fit flatform sandals",https://www.dunelondon.com/womens-wide-fit/flat-sandals/dune-london/,"Current Target",480,34,0,31,3,9,22,32,-23
"black flat sandals wide fit",https://www.dunelondon.com/womens-wide-fit/flat-sandals/dune-london/,"Current Target",320,19,0,19,0,17,2,16,1
"wide fit black flat sandals",https://www.dunelondon.com/womens-wide-fit/flat-sandals/dune-london/,"Current Target",320,21,0,10,11,21,-11,19,2
"flat sandals wide fit",https://www.dunelondon.com/womens-wide-fit/flat-sandals/dune-london/,"Current Target",2900,7,0,5,2,6,-1,7,-1
"flatform sandals wide fit",https://www.dunelondon.com/womens-sandals/womens-wide-fit-sandals/,"Current Target",140,-,0,-,0,-,0,23,77
"gold flat sandals wide fit",https://www.dunelondon.com/womens-sandals/womens-gold-sandals/,"Current Target",140,9,0,9,0,8,1,9,-1
"wide fit gold flat sandals",https://www.dunelondon.com/womens-sandals/womens-gold-sandals/,"Current Target",140,15,0,5,10,17,-12,18,-1
"wide fit gold sandals flat",https://www.dunelondon.com/womens-sandals/womens-gold-sandals/,"Current Target",140,17,0,-,0,7,93,20,-13
"black wide fit flat sandals",https://www.dunelondon.com/womens-wide-fit/flat-sandals/dune-london/,"Current Target",320,25,0,-,0,-,0,6,94
"diamante sandals flat wide fit",https://www.dunelondon.com/novaliie-diamante-flat-sandals-silver-2105511210003380.html,"Current Target",90,-,0,10,90,21,-11,16,5
"Wide Fit Sandals",https://www.dunelondon.com/womens-sandals/womens-wide-fit-sandals/,"Current Target",9900,-,0,-,0,9,91,-,0
"wide fit sandals",https://www.dunelondon.com/womens-sandals/womens-wide-fit-sandals/,"Current Target",9900,-,0,20,80,-,0,-,0
"Wedge Sandals",--,,45200,34,0,21,13,18,3,22,-4
"black wedge sandals",https://en-om.dunelondon.com/ladies/ladies-sandals/wedge-sandals.html,"Current Target",760,2,0,3,-1,2,1,2,0
"gold wedge sandals",https://www.dunelondon.com/womens-sandals/womens-wedge-sandals/metallic/,"Current Target",270,4,0,7,-3,7,0,5,2
"white wedge sandals",https://www.dunelondon.com/womens-sandals/womens-wedge-sandals/white/,"Current Target",1100,-,0,-,0,9,91,-,0
"low wedge sandals",https://www.dunelondon.com/womens-sandals/womens-wedge-sandals/low/,"Current Target",320,19,0,2,17,23,-21,3,20
"silver wedge sandals",https://en-om.dunelondon.com/ladies/ladies-sandals/wedge-sandals.html,"Current Target",10,23,0,2,21,2,0,2,0
"tan wedge sandals",https://www.dunelondon.com/kindest-cork-and-woven-wedge-sandals-tan-0081500620068511.html,"Current Target",70,8,0,5,3,6,-1,2,4
"wedge sandals uk",https://www.dunelondon.com/womens-sandals/womens-wedge-sandals/,"Current Target",3600,4,0,3,1,5,-2,8,-3
"low wedge sandals uk",https://www.dunelondon.com/womens-sandals/womens-wedge-sandals/low/,"Current Target",2400,8,0,23,-15,17,6,10,7
"wedge white sandals",https://en-om.dunelondon.com/ladies/ladies-sandals/wedge-sandals.html,"Current Target",370,17,0,13,4,17,-4,19,-2
"brown wedge sandals",https://www.dunelondon.com/womens-sandals/womens-wedge-sandals/brown/,"Current Target",10,2,0,3,-1,2,1,3,-1
"nude wedge sandals",https://en-om.dunelondon.com/ladies/ladies-sandals/wedge-sandals.html,"Current Target",1600,3,0,8,-5,7,1,9,-2
"mid wedge sandals",https://en-om.dunelondon.com/ladies/ladies-sandals/wedge-sandals.html,"Current Target",1600,40,0,2,38,2,0,2,0
"navy wedge sandals",https://www.dunelondon.com/womens-sandals/womens-wedge-sandals/low/,"Current Target",1600,-,0,15,85,14,1,32,-18
"pink wedge sandals",https://www.dunelondon.com/womens-sandals/womens-wedge-sandals/pink/,"Current Target",1300,-,0,14,86,20,-6,20,0
"Wedge Sandals",https://en-om.dunelondon.com/ladies/ladies-sandals/wedge-sandals.html,"Current Target",14800,2,0,1,1,1,0,1,0
"clarks wedge sandals",https://www.dunelondon.com/womens-sandals/womens-wedge-sandals/,,40,34,0,35,-1,36,-1,36,0
"wedge heel sandals",https://en-om.dunelondon.com/ladies/ladies-sandals/wedge-sandals.html,,50,7,0,1,6,1,0,2,-1
"wedge sandals",https://en-om.dunelondon.com/ladies/ladies-sandals/wedge-sandals.html,,14800,2,0,1,1,1,0,1,0
"wedge sandals next",https://www.dunelondon.com/womens-sandals/womens-wedge-sandals/,,10,-,0,-,0,-,0,-,0
"wedges sandals",https://en-om.dunelondon.com/ladies/ladies-sandals/wedge-sandals.html,,360,6,0,1,5,2,-1,2,0
"wide fit wedge sandals",https://www.dunelondon.com/womens-wide-fit/wedges/,,80,9,0,10,-1,6,4,11,-5
"espadrille wedge sandals",https://www.dunelondon.com/womens-trends/womens-espadrilles/,,10,-,0,24,76,27,-3,26,1
"new look wedge sandals",https://www.dunelondon.com/womens-sandals/,,20,-,0,-,0,-,0,-,0
"skechers wedge sandals",https://www.dunelondon.com/womens-sandals/womens-wedge-sandals/,,20,29,0,33,-4,33,0,32,1
Espadrilles,--,,10120,-,0,30,70,29,1,32,-3
"espadrilles women",https://www.dunelondon.com/womens-trends/womens-espadrilles/,"Current Target",4400,-,0,31,69,32,-1,34,-2
"espadrilles for women",https://www.dunelondon.com/womens-trends/womens-espadrilles/,"Current Target",480,-,0,26,74,27,-1,31,-4
"womens espadrilles",https://www.dunelondon.com/womens-trends/womens-espadrilles/,"Current Target",2900,-,0,31,69,32,-1,34,-2
"women espadrilles",https://www.dunelondon.com/womens-trends/womens-espadrilles/,"Current Target",320,-,0,35,65,35,0,38,-3
"wedge espadrilles for women",https://www.dunelondon.com/womens-trends/womens-espadrilles/,"Current Target",720,-,0,29,71,25,4,28,-3
"womens espadrilles uk",https://www.dunelondon.com/womens-trends/womens-espadrilles/,"Current Target",1300,-,0,25,75,25,0,27,-2
"Smart Shoes",--,,31540,18,0,7,11,7,0,18,-11
"mens smart shoes",https://www.dunelondon.com/mens-shoes/mens-smart-shoes/,,10800,1,0,3,-2,2,1,1,1
"mens smart casual shoes",https://www.dunelondon.com/mens-shoes/mens-casual-shoes/,,30,54,0,56,-2,5,51,4,1
"black smart shoes for men",https://www.dunelondon.com/mens-shoes/black/,,10,3,0,5,-2,28,-23,-,0
"mens smart casual trainers",https://www.dunelondon.com/mens-shoes/mens-trainers/,,70,3,0,2,1,7,-5,2,5
"men's smart shoes",https://www.dunelondon.com/mens-shoes/mens-smart-shoes/,,12100,1,0,2,-1,1,1,2,-1
"mens smart black shoes",https://www.dunelondon.com/mens-shoes/mens-smart-shoes/,,2900,2,0,2,0,5,-3,1,4
"mens brown smart shoes",https://www.dunelondon.com/mens-shoes/mens-smart-shoes/brown/dune-london/,,1300,6,0,9,-3,2,7,3,-1
"mens smart brown shoes",https://www.dunelondon.com/mens-shoes/mens-smart-shoes/,,1300,4,0,6,-2,2,4,1,1
"brown mens smart shoes",https://www.dunelondon.com/mens-shoes/mens-smart-shoes/brown/dune-london/,,1300,2,0,4,-2,2,2,5,-3
"brown smart mens shoes",https://www.dunelondon.com/mens-shoes/mens-smart-shoes/brown/dune-london/,,1300,2,0,3,-1,1,2,1,0
"chunky smart shoes men",https://www.dunelondon.com/mens-shoes/mens-smart-shoes/,,30,-,0,6,94,6,0,-,0
"smart shoes for men",https://www.dunelondon.com/mens-shoes/mens-smart-shoes/,,60,1,0,5,-4,5,0,3,2
"smart trainers mens",https://www.dunelondon.com/mens-shoes/mens-trainers/,,170,8,0,1,7,5,-4,5,0
"mens black smart shoes",https://www.dunelondon.com/mens-shoes/mens-smart-shoes/,,10,1,0,3,-2,4,-1,4,0
"smart mens shoes",https://www.dunelondon.com/mens-shoes/mens-smart-shoes/,,10,1,0,4,-3,3,1,1,2
"smart casual shoes for men",https://www.dunelondon.com/eu/en-ie/mens-shoes/mens-casual-shoes/,,150,-,0,3,97,32,-29,49,-17
"Casual shoes",--,,13490,16,0,7,9,15,-8,30,-15
"men's casual shoes",https://www.dunelondon.com/mens-shoes/mens-casual-shoes/,,760,4,0,4,0,3,1,3,0
"mens casual shoes uk",https://www.dunelondon.com/mens-shoes/mens-casual-shoes/,,2900,10,0,11,-1,10,1,2,8
"smart casual mens shoes",https://www.dunelondon.com/mens-shoes/mens-casual-shoes/,,30,-,0,13,87,8,5,2,6
"smart casual shoes men",https://www.dunelondon.com/mens-shoes/mens-casual-shoes/,,150,8,0,4,4,-,0,3,97
"smart casual men shoes",https://www.dunelondon.com/eu/en-ie/mens-shoes/mens-casual-shoes/,,30,11,0,16,-5,-,0,-,0
"casual shoes for men",https://www.dunelondon.com/mens-shoes/mens-casual-shoes/,,920,8,0,7,1,1,6,5,-4
"men's casual shoes",https://www.dunelondon.com/mens-shoes/mens-casual-shoes/,,760,6,0,4,2,3,1,4,-1
"mens black casual shoes",https://www.dunelondon.com/mens-shoes/black/,,10,9,0,3,6,9,-6,2,7
"casual shoes for men",https://www.dunelondon.com/mens-shoes/mens-casual-shoes/,,920,8,0,5,3,6,-1,1,5
"mens casual trainers",https://www.dunelondon.com/mens-shoes/mens-trainers/,,440,-,0,4,96,2,2,-,0
"mens black casual shoes",https://www.dunelondon.com/mens-shoes/black/,,10,7,0,8,-1,2,6,2,0
"mens casual shoes",https://www.dunelondon.com/mens-shoes/mens-casual-shoes/,,5400,6,0,5,1,3,2,6,-3
"mens smart casual shoes",https://www.dunelondon.com/mens-shoes/mens-trainers/,,30,18,0,4,14,39,-35,-,0
"casual shoes men",https://www.dunelondon.com/mens-shoes/mens-casual-shoes/,,240,5,0,5,0,2,3,3,-1
"mens brown casual shoes",https://www.dunelondon.com/eu/en-ie/mens-shoes/brown/,,10,1,0,1,0,8,-7,16,-8
"men casual shoes",https://www.dunelondon.com/mens-shoes/mens-casual-shoes/,,10,6,0,3,3,10,-7,4,6
"mens smart casual trainers",https://www.dunelondon.com/mens-shoes/mens-trainers/,,70,7,0,1,6,3,-2,-,0
"casual trainers for men",https://www.dunelondon.com/mens-shoes/mens-trainers/,,160,4,0,3,1,5,-2,-,0
"black casual shoes for men",https://www.dunelondon.com/mens-shoes/black/,,10,7,0,8,-1,2,6,2,0
"casual men's shoes",https://www.dunelondon.com/mens-shoes/mens-casual-shoes/,,30,4,0,4,0,1,3,6,-5
"casual leather shoes for men",https://www.dunelondon.com/mens-shoes/mens-casual-shoes/,,590,3,0,8,-5,4,4,6,-2
"mens casual slip on shoes",https://www.dunelondon.com/mens-shoes/mens-casual-shoes/,,10,27,0,32,-5,14,18,-,0
"Mens Loafers",--,,98010,36,0,43,-7,54,-11,50,4
"mens loafers",https://www.dunelondon.com/mens-shoes/mens-loafers/,,27100,1,0,1,0,-,0,9,91
"loafers for men",https://www.dunelondon.com/mens-shoes/mens-loafers/,,27100,1,0,8,-7,-,0,-,0
"shoes mens loafers",https://www.dunelondon.com/mens-shoes/mens-loafers/,,3600,1,0,7,-6,-,0,1,99
"loafer shoes for men",https://www.dunelondon.com/mens-shoes/mens-loafers/,,10,4,0,-,0,-,0,8,92
"mens loafer shoes",https://www.dunelondon.com/mens-shoes/mens-loafers/brown/,,3600,5,0,-,0,45,55,-,0
"mens leather loafers",https://www.dunelondon.com/mens-shoes/mens-loafers/,,4400,2,0,39,-37,-,0,1,99
"loafers shoes for men",https://www.dunelondon.com/mens-shoes/mens-loafers/brown/,,3600,3,0,-,0,7,93,57,-50
"mens loafers shoes",https://www.dunelondon.com/mens-shoes/mens-loafers/,,3600,-,0,12,88,8,4,-,0
"men shoes loafers",https://www.dunelondon.com/womens-shoes/womens-loafers/,,3600,-,0,10,90,88,-78,-,0
"casual loafers mens shoes",https://www.dunelondon.com/mens-shoes/mens-loafers/,,2400,-,0,-,0,-,0,-,0
"loafer men shoes",https://www.dunelondon.com/mens-shoes/mens-loafers/brown/,,3600,-,0,-,0,-,0,61,39
"men's suede loafer shoes",https://www.dunelondon.com/mens-shoes/mens-loafers/,,4400,10,0,12,-2,11,1,11,0
"mens suede loafer shoes",https://www.dunelondon.com/mens-shoes/mens-loafers/,,3600,10,0,10,0,9,1,8,1
"loafer shoes for men sale",https://www.dunelondon.com/ch/en/mens-sale/loafer/,,2400,29,0,10,19,14,-4,17,-3
"loafers mens shoes",https://www.dunelondon.com/mens-shoes/mens-loafers/,,3600,5,0,9,-4,10,-1,-,0
"men loafers shoes",https://www.dunelondon.com/mens-shoes/mens-loafers/,,20,3,0,6,-3,4,2,-,0
"men loafer shoes",https://www.dunelondon.com/mens-shoes/mens-loafers/brown/,,10,-,0,11,89,65,-54,59,6
"loafer shoes men",https://www.dunelondon.com/mens-shoes/mens-loafers/,,590,7,0,47,-40,-,0,8,92
"loafer shoes mens",https://www.dunelondon.com/mens-shoes/mens-loafers/,,90,-,0,-,0,-,0,-,0
"loafers shoes men",https://www.dunelondon.com/mens-shoes/mens-loafers/brown/,,590,4,0,59,-55,9,50,55,-46
"mens shoes loafers",https://www.dunelondon.com/mens-shoes/mens-loafers/,,90,-,0,-,0,4,96,1,3
"mens brown loafer shoes",https://www.dunelondon.com/mens-shoes/mens-loafers/brown/,,10,4,0,3,1,5,-2,3,2
"Smart Trainers",--,,77860,28,0,16,12,9,7,35,-26
"mens smart trainers",https://www.dunelondon.com/mens-shoes/mens-trainers/,,14800,8,0,2,6,5,-3,6,-1
"smart trainers for men",https://www.dunelondon.com/mens-shoes/mens-trainers/,,14800,4,0,2,2,7,-5,-,0
"smart mens trainers",https://www.dunelondon.com/mens-shoes/mens-trainers/,,100,5,0,3,2,4,-1,5,-1
"smart trainers men's",https://www.dunelondon.com/mens-shoes/mens-trainers/,,3600,5,0,3,2,2,1,2,0
"men's smart trainers",https://www.dunelondon.com/mens-shoes/mens-trainers/,,12100,9,0,1,8,7,-6,7,0
"smart black trainers men's",https://www.dunelondon.com/mens-shoes/mens-trainers/black/,,3600,7,0,7,0,5,2,34,-29
"mens smart trainers black",https://www.dunelondon.com/mens-shoes/mens-trainers/black/,,3600,7,0,8,-1,6,2,40,-34
"smart black trainers men",https://www.dunelondon.com/mens-shoes/mens-trainers/,,3600,-,0,8,92,4,4,24,-20
"men smart trainers",https://www.dunelondon.com/mens-shoes/mens-trainers/,,3600,6,0,1,5,6,-5,8,-2
"mens trainers smart",https://www.dunelondon.com/mens-shoes/mens-trainers/,,10,7,0,2,5,8,-6,8,0
"mens smart casual trainers",https://www.dunelondon.com/mens-shoes/mens-trainers/,,70,6,0,-,0,7,93,-,0
"mens smart white trainers",https://www.dunelondon.com/mens-sale/mens-sale-trainers/white/,,1600,21,0,25,-4,4,21,6,-2
"smart black trainers mens",https://www.dunelondon.com/mens-shoes/mens-trainers/black/,,4400,8,0,9,-1,5,4,42,-37
"black smart trainers mens",https://www.dunelondon.com/mens-shoes/mens-trainers/black/,,4400,8,0,8,0,5,3,44,-39
"smart trainers mens",https://www.dunelondon.com/mens-shoes/mens-trainers/,,170,11,0,1,10,5,-4,9,-4
"mens black smart trainers",https://www.dunelondon.com/mens-shoes/mens-trainers/,,180,-,0,7,93,4,3,25,-21
"mens smart black trainers",https://www.dunelondon.com/mens-shoes/mens-trainers/black/,,180,7,0,7,0,6,1,45,-39
"smart casual mens trainers",https://www.dunelondon.com/mens-shoes/mens-trainers/,,70,7,0,-,0,5,95,-,0
"mens smart trainers uk",https://www.dunelondon.com/mens-shoes/mens-trainers/,,20,8,0,7,1,6,1,7,-1
"mens white smart trainers",https://www.dunelondon.com/mens-sale/mens-sale-trainers/white/,,30,25,0,10,15,9,1,6,3
"smart casual trainers mens",https://www.dunelondon.com/mens-shoes/mens-trainers/,,260,-,0,-,0,3,97,-,0
"smart white trainers mens",https://www.dunelondon.com/mens-sale/mens-sale-trainers/white/,,1600,29,0,25,4,5,20,-,0
"smart trainers men",https://www.dunelondon.com/mens-shoes/mens-trainers/,,720,5,0,7,-2,6,1,6,0
"smart white trainers men's",https://www.dunelondon.com/mens-shoes/mens-trainers/white/,,1600,12,0,11,1,11,0,11,0
"best smart trainers men's",https://www.dunelondon.com/mens-shoes/mens-trainers/,,260,-,0,11,89,12,-1,-,0
"best smart trainers mens",https://www.dunelondon.com/mens-shoes/mens-trainers/,,260,-,0,16,84,-,0,-,0
"men's smart trainers uk",https://www.dunelondon.com/mens-shoes/mens-trainers/,,1000,9,0,5,4,3,2,2,1
"smart casual trainers mens uk",https://www.dunelondon.com/mens-shoes/mens-trainers/,,140,4,0,2,2,9,-7,9,0
"white smart trainers mens",https://www.dunelondon.com/mens-sale/mens-sale-trainers/white/,,260,-,0,21,79,8,13,6,2
"mens smart leather trainers",https://www.dunelondon.com/mens-shoes/mens-trainers/,,260,3,0,3,0,3,0,2,1
"mens smart sneakers",https://www.dunelondon.com/mens-shoes/mens-trainers/,,260,5,0,4,1,2,2,-,0
"mens smart trainer shoes",https://www.dunelondon.com/mens-shoes/mens-trainers/,,140,5,0,3,2,10,-7,2,8
"smart trainers for work mens",https://www.dunelondon.com/mens-shoes/mens-trainers/,,170,-,0,2,98,1,1,1,0
"Casual Boots",--,,3990,13,0,9,4,14,-5,38,-24
"casual boots for men",https://www.dunelondon.com/mens-boots/mens-casual-boots/,,30,1,0,1,0,50,-49,34,16
"men's casual boots",https://www.dunelondon.com/mens-boots/mens-casual-boots/,,120,15,0,1,14,1,0,-,0
"men casual boots",https://www.dunelondon.com/mens-boots/mens-casual-boots/,,90,1,0,1,0,1,0,9,-8
"mens black casual boots",https://www.dunelondon.com/mens-boots/,,590,7,0,2,5,1,1,3,-2
"mens casual boots uk",https://www.dunelondon.com/mens-boots/mens-casual-boots/,,20,10,0,8,2,1,7,37,-36
"mens smart casual boots",https://www.dunelondon.com/mens-boots/mens-smart-boots/,,10,13,0,9,4,27,-18,1,26
"brown boots for men casual",https://www.dunelondon.com/mens-boots/brown/,,1000,5,0,5,0,6,-1,5,1
"casual brown boots for men",https://www.dunelondon.com/mens-boots/brown/,,1000,2,0,1,1,3,-2,5,-2
"mens boots smart casual",https://www.dunelondon.com/mens-boots/mens-smart-boots/,,10,19,0,1,18,30,-29,8,22
"smart casual mens boots",https://www.dunelondon.com/mens-boots/,,10,37,0,3,34,10,-7,15,-5
"mens casual boots for jeans",https://www.dunelondon.com/mens-boots/,,210,12,0,16,-4,14,2,12,2
"casual mens boots fashion",https://www.dunelondon.com/mens-boots/mens-casual-boots/,,140,1,0,1,0,1,0,-,0
"mens casual leather boots",https://www.dunelondon.com/mens-boots/,,390,1,0,1,0,1,0,4,-3
"casual boots mens uk",https://www.dunelondon.com/mens-boots/mens-casual-boots/,,10,9,0,3,6,1,2,36,-35
"men's casual boots uk",https://www.dunelondon.com/mens-boots/mens-casual-boots/,,10,2,0,1,1,1,0,-,0
"casual mens boots uk",https://www.dunelondon.com/mens-boots/mens-casual-boots/,,20,1,0,9,-8,12,-3,20,-8
"mens brown boots casual",https://www.dunelondon.com/mens-boots/brown/,,10,2,0,1,1,4,-3,-,0
"mens casual ankle boots",https://www.dunelondon.com/mens-boots/mens-casual-boots/,,170,13,0,14,-1,9,5,48,-39
"mens casual winter boots",https://www.dunelondon.com/mens-sale/mens-sale-boots/,,140,-,0,-,0,-,0,-,0
"smart casual boots mens",https://www.dunelondon.com/mens-boots/mens-casual-boots/,,10,1,0,1,0,1,0,18,-17
"Colour Bags",--,,102600,46,0,69,-23,62,7,74,-12
"Black bag",https://www.dunelondon.com/womens-bags/,,40500,60,0,61,-1,-,0,-,0
"Gold bag",https://www.dunelondon.com/womens-bags/womens-gold-clutch-bags/,,9900,3,0,3,0,-,0,21,79
"Silver bag",https://www.dunelondon.com/womens-bags/womens-clutch-bags/metallic/,,14800,41,0,-,0,-,0,70,30
"Pink bag",https://www.dunelondon.com/womens-bags/womens-handbags/pink/,,12100,-,0,-,0,-,0,-,0
"White bag",https://www.dunelondon.com/womens-bags/womens-handbags/white/,,12100,-,0,-,0,22,78,28,-6
"Gold evening bags",https://www.dunelondon.com/womens-bags/womens-clutch-bags/,,2400,15,0,-,0,6,94,-,0
"Brown bag",https://www.dunelondon.com/womens-bags/brown/,,10800,4,0,17,-13,6,11,-,0
Handbags,--,,258960,67,0,56,11,66,-10,61,5
Handbags,https://www.dunelondon.com/womens-bags/,,49500,-,0,-,0,-,0,-,0
Handbag,https://www.dunelondon.com/womens-bags/,,90500,-,0,-,0,-,0,-,0
"Designer handbag",https://www.dunelondon.com/womens-bags/womens-handbags/,,8100,-,0,-,0,-,0,-,0
"Leather handbag",https://www.dunelondon.com/womens-bags/womens-leather-bags/,,8000,8,0,12,-4,9,3,10,-1
"Small purse handbags",https://www.dunelondon.com/womens-bags/,,0,35,0,16,19,17,-1,16,1
"Satchels handbags",https://www.dunelondon.com/womens-bags/,,8100,-,0,30,70,32,-2,-,0
"Ladies handbags",https://www.dunelondon.com/womens-bags/,,5700,-,0,-,0,-,0,-,0
"Women handbags",https://www.dunelondon.com/womens-bags/,,22200,-,0,9,91,-,0,2,98
"Handbag with sling",https://www.dunelondon.com/womens-bags/,,12100,-,0,-,0,-,0,-,0
"Bridal handbags",https://www.dunelondon.com/,,8100,-,0,80,20,-,0,-,0
"School handbags",https://www.dunelondon.com/womens-bags/,,0,-,0,33,67,-,0,-,0
"Handbags for work",https://www.dunelondon.com/womens-bags-shop-by-occasion/womens-work-bags/,,18100,9,0,7,2,-,0,-,0
"Black handbag",https://www.dunelondon.com/womens-bags/womens-handbags/black/,,9900,4,0,20,-16,4,16,10,-6
"Red handbag",https://www.dunelondon.com/womens-bags/womens-handbags/red/,,8100,9,0,5,4,10,-5,10,0
"Pink handbags",https://www.dunelondon.com/womens-bags/womens-handbags/pink/,,8100,-,0,-,0,-,0,-,0
"Navy handbag",https://www.dunelondon.com/womens-bags/womens-handbags/blue/,,1500,-,0,-,0,17,83,16,1
"White hanbag",https://www.dunelondon.com/womens-bags/womens-handbags/white/,,50,48,0,-,0,-,0,23,77
"Brown handbags",https://www.dunelondon.com/womens-bags/womens-handbags/brown/,,910,1,0,1,0,6,-5,11,-5
"Tote Bags",--,,423310,64,0,75,-11,71,4,71,0
"Tote bag",https://www.dunelondon.com/womens-bags/womens-tote-bags/,,135000,39,0,-,0,17,83,-,0
"Tote bags",https://www.dunelondon.com/womens-bags/womens-tote-bags/,,22200,12,0,-,0,17,83,-,0
"Tote bag leather",https://www.dunelondon.com/womens-bags/womens-tote-bags/,,18100,29,0,31,-2,-,0,-,0
"Tote bags for women",https://www.dunelondon.com/womens-bags/womens-tote-bags/,,22200,-,0,17,83,-,0,-,0
"Large tote bag",https://www.dunelondon.com/womens-bags/womens-tote-bags/,,8100,19,0,-,0,-,0,-,0
"Tote bag with zip",https://www.dunelondon.com/womens-bags/womens-tote-bags/,,6600,-,0,-,0,-,0,-,0
"Work tote bags",https://www.dunelondon.com/womens-bags-shop-by-occasion/womens-work-bags/,,5400,-,0,-,0,-,0,-,0
