"Google United Kingdom, interface language: English"
Keyword,URL,"Search vol.",2026-01-26,Dynamics,2026-01-27,Dynamics,2026-01-28,Dynamics,2026-01-29,Dynamics,2026-01-30,Dynamics,2026-01-31,Dynamics,2026-02-01,Dynamics,2026-02-02,Dynamics,2026-02-03,Dynamics,2026-02-04,Dynamics,2026-02-05,Dynamics,2026-02-06,Dynamics,2026-02-07,Dynamics,2026-02-08,Dynamics,2026-02-09,Dynamics,2026-02-10,Dynamics,2026-02-11,Dynamics,2026-02-12,Dynamics,2026-02-13,Dynamics,2026-02-14,Dynamics,2026-02-15,Dynamics,2026-02-16,Dynamics,2026-02-17,Dynamics,2026-02-18,Dynamics,2026-02-19,Dynamics,2026-02-20,Dynamics,2026-02-21,Dynamics,2026-02-22,Dynamics,2026-02-23,Dynamics,2026-02-24,Dynamics
"small plastic shed",https://www.buyshedsdirect.co.uk/sheds/plastic,10,2,0,2,0,3,-1,4,-1,4,0,4,0,4,0,6,-2,4,2,4,0,2,2,2,0,2,0,2,0,7,-5,5,2,2,3,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,3,-1,3,0,3,0,3,0
"mini plastic sheds",https://www.buyshedsdirect.co.uk/sheds/plastic,10,10,0,10,0,10,0,10,0,9,1,8,1,8,0,9,-1,9,0,9,0,8,1,8,0,9,-1,8,1,9,-1,8,1,7,1,7,0,8,-1,9,-1,9,0,2,7,12,-10,1,11,12,-11,1,11,11,-10,11,0,9,2,10,-1
"Sheds by Size",--,45240,2,0,2,0,2,0,2,0,2,0,2,0,3,-1,3,0,3,0,9,-6,3,6,2,1,3,-1,3,0,2,1,2,0,2,0,3,-1,3,0,5,-2,3,2,3,0,5,-2,4,1,3,1,2,1,2,0,1,1,2,-1,2,0
"garden shed 6 x 4 garden sheds",https://www.buyshedsdirect.co.uk/sheds/6x4,9900,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,10,-9,12,-2,4,8,8,-4,7,1,2,5,2,0,2,0,1,1,1,0,3,-2
"8x6 shed",https://www.buyshedsdirect.co.uk/sheds/8x6,9900,1,0,1,0,1,0,1,0,2,-1,2,0,2,0,2,0,2,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,4,-3,8,-4,1,7,1,0,1,0,1,0,1,0,1,0
"6x4 shed",https://www.buyshedsdirect.co.uk/sheds/6x4,8100,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,9,-8,6,3,3,3,4,-1,3,1,4,-1,1,3,1,0,1,0,1,0,1,0
"shed 6x4",https://www.buyshedsdirect.co.uk/sheds/6x4,5700,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,5,-4,5,0,3,2,4,-1,4,0,1,3,2,-1,1,1,1,0,1,0,1,0
"shed 8x6",https://www.buyshedsdirect.co.uk/sheds/8x6,5700,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,-1,2,0,-,0,1,99,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,4,-3,3,1,1,2,1,0,1,0,1,0,1,0,1,0
"10x8 shed",https://www.buyshedsdirect.co.uk/sheds/10x8,1500,11,0,6,5,7,-1,4,3,4,0,5,-1,9,-4,8,1,8,0,6,2,6,0,8,-2,9,-1,5,4,8,-3,4,4,9,-5,7,2,7,0,7,0,2,5,1,1,8,-7,1,7,5,-4,7,-2,8,-1,1,7,1,0,1,0
"sheds 6x4",https://www.buyshedsdirect.co.uk/sheds/6x4,720,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,11,-10,4,7,4,0,6,-2,4,2,1,3,2,-1,1,1,1,0,1,0,2,-1
"10x8 pent shed",https://www.buyshedsdirect.co.uk/sheds/10x8,590,7,0,5,2,7,-2,7,0,8,-1,6,2,7,-1,9,-2,7,2,6,1,8,-2,8,0,8,0,6,2,6,0,5,1,5,0,6,-1,6,0,6,0,6,0,2,4,5,-3,2,3,6,-4,5,1,11,-6,4,7,4,0,7,-3
"sheds 8x6",https://www.buyshedsdirect.co.uk/sheds/8x6,470,1,0,1,0,1,0,1,0,1,0,1,0,2,-1,2,0,2,0,3,-1,1,2,1,0,2,-1,2,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,5,-4,3,2,1,2,1,0,1,0,1,0,1,0,1,0
"10x8 sheds for sale",https://www.buyshedsdirect.co.uk/sheds/10x8,390,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,6,-4,2,4,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,1,1,0,2,-1,1,1,1,0,2,-1,1,1,2,-1,2,0,1,1
"8x6 wooden shed",https://www.buyshedsdirect.co.uk/sheds/8x6,390,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,4,-3,4,0,3,1,1,2,1,0,1,0,1,0,1,0
"6 x 4 garden shed",https://www.buyshedsdirect.co.uk/sheds/6x4,320,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,8,-7,6,2,3,3,5,-2,3,2,1,2,2,-1,1,1,1,0,1,0,3,-2
"wooden sheds 6x4",https://www.buyshedsdirect.co.uk/sheds/6x4,320,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,6,-5,4,2,3,1,6,-3,4,2,1,3,4,-3,1,3,1,0,1,0,2,-1
"8x6 sheds",https://www.buyshedsdirect.co.uk/sheds/8x6,240,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,-1,2,0,2,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,4,-3,3,1,1,2,1,0,1,0,1,0,1,0,1,0
"sheds 10x8",https://www.buyshedsdirect.co.uk/sheds/10x8,210,2,0,2,0,2,0,3,-1,3,0,4,-1,4,0,5,-1,5,0,5,0,5,0,2,3,5,-3,9,-4,6,3,6,0,6,0,6,0,7,-1,7,0,1,6,1,0,9,-8,9,0,5,4,1,4,1,0,1,0,6,-5,5,1
"shed 10x8",https://www.buyshedsdirect.co.uk/sheds/10x8,210,2,0,2,0,2,0,2,0,3,-1,2,1,2,0,2,0,7,-5,6,1,6,0,6,0,2,4,2,0,2,0,2,0,2,0,2,0,5,-3,2,3,1,1,1,0,7,-6,2,5,7,-5,1,6,1,0,1,0,1,0,6,-5
"6x4 sheds",https://www.buyshedsdirect.co.uk/sheds/6x4,180,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,7,-6,7,0,3,4,3,0,1,2,1,0,1,0,1,0,1,0,1,0,1,0
"10x8 sheds",https://www.buyshedsdirect.co.uk/sheds/10x8,120,8,0,2,6,3,-1,3,0,4,-1,8,-4,8,0,5,3,4,1,4,0,2,2,2,0,8,-6,8,0,8,0,9,-1,9,0,9,0,9,0,9,0,1,8,1,0,9,-8,1,8,9,-8,9,0,3,6,1,2,1,0,9,-8
"garden shed 8 x 10",https://www.buyshedsdirect.co.uk/sheds/10x8,70,7,0,7,0,2,5,5,-3,2,3,2,0,4,-2,8,-4,3,5,7,-4,7,0,8,-1,7,1,7,0,6,1,6,0,8,-2,8,0,8,0,8,0,8,0,10,-2,8,2,8,0,7,1,5,2,5,0,7,-2,7,0,7,0
"garden shed 6x4",https://www.buyshedsdirect.co.uk/sheds/6x4,40,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,7,-6,4,3,11,-7,9,2,5,4,2,3,2,0,1,1,1,0,1,0,2,-1
"6x4 garden shed",https://www.buyshedsdirect.co.uk/sheds/6x4,40,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,11,-10,7,4,18,-11,7,11,15,-8,1,14,3,-2,3,0,1,2,1,0,2,-1
"6x4 plastic shed",https://www.buyshedsdirect.co.uk/sheds/plastic,40,2,0,2,0,1,1,1,0,1,0,1,0,1,0,1,0,4,-3,1,3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
"10x8 garden shed",https://www.buyshedsdirect.co.uk/sheds/10x8,20,1,0,1,0,1,0,2,-1,1,1,2,-1,2,0,6,-4,4,2,-,0,5,95,1,4,2,-1,2,0,2,0,2,0,1,1,5,-4,5,0,1,4,1,0,1,0,3,-2,1,2,3,-2,1,2,3,-2,1,2,1,0,1,0
"10x8 metal shed",https://www.buyshedsdirect.co.uk/10-x-8-yardmaster-castleton-anthracite-metal-shed,10,6,0,7,-1,9,-2,7,2,15,-8,10,5,19,-9,18,1,14,4,6,8,13,-7,10,3,10,0,10,0,5,5,5,0,8,-3,10,-2,10,0,9,1,4,5,3,1,3,0,3,0,3,0,6,-3,6,0,3,3,4,-1,3,1
"6x4 wooden shed",https://www.buyshedsdirect.co.uk/sheds/6x4,10,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,12,-11,8,4,3,5,3,0,3,0,1,2,2,-1,2,0,1,1,1,0,1,0
"plastic shed 6x4",https://www.buyshedsdirect.co.uk/sheds/plastic,10,2,0,2,0,1,1,2,-1,1,1,1,0,1,0,1,0,4,-3,1,3,1,0,1,0,1,0,1,0,1,0,"No data","No data",1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
"wooden sheds 8x6",https://www.buyshedsdirect.co.uk/sheds/8x6,10,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,-2,4,-1,4,0,1,3,1,0,1,0,1,0,1,0
"garden sheds 8x6",https://www.buyshedsdirect.co.uk/sheds/8x6,10,1,0,1,0,1,0,1,0,1,0,2,-1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,3,-1,4,-1,2,2,1,1,1,0,1,0,7,-6,5,2,1,4,1,0,1,0,1,0,1,0,1,0
"8x6 garden shed",https://www.buyshedsdirect.co.uk/sheds/8x6,10,1,0,1,0,1,0,1,0,2,-1,2,0,2,0,2,0,2,0,3,-1,2,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,1,1,0,1,0,5,-4,5,0,1,4,1,0,1,0,1,0,1,0,1,0
"plastic shed 8x6",https://www.buyshedsdirect.co.uk/sheds/plastic,10,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,4,-3,5,-1,1,4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
"Metal Sheds",--,44060,12,0,12,0,12,0,12,0,13,-1,12,1,12,0,17,-5,23,-6,26,-3,22,4,12,10,12,0,11,1,11,0,10,1,11,-1,15,-4,12,3,10,2,10,0,10,0,8,2,9,-1,10,-1,10,0,10,0,11,-1,11,0,9,2
"metal shed",https://www.buyshedsdirect.co.uk/sheds/metal,27100,13,0,11,2,12,-1,17,-5,13,4,13,0,14,-1,13,1,14,-1,13,1,15,-2,14,1,13,1,14,-1,9,5,9,0,13,-4,13,0,17,-4,12,5,18,-6,12,6,9,3,13,-4,11,2,19,-8,18,1,16,2,13,3,12,1
"metal sheds",https://www.buyshedsdirect.co.uk/sheds/metal,9900,11,0,11,0,14,-3,14,0,18,-4,17,1,11,6,11,0,11,0,-,0,13,87,15,-2,12,3,15,-3,15,0,15,0,12,3,12,0,12,0,10,2,12,-2,12,0,12,0,11,1,14,-3,14,0,12,2,11,1,11,0,9,2
"metal garden shed",https://www.buyshedsdirect.co.uk/sheds/metal,3200,18,0,14,4,12,2,13,-1,19,-6,18,1,16,2,12,4,19,-7,11,8,11,0,20,-9,12,8,12,0,12,0,12,0,12,0,19,-7,20,-1,13,7,14,-1,8,6,12,-4,9,3,16,-7,11,5,11,0,19,-8,11,8,10,1
"metal garden sheds",https://www.buyshedsdirect.co.uk/sheds/metal,1300,12,0,12,0,13,-1,12,1,14,-2,12,2,12,0,13,-1,12,1,11,1,12,-1,13,-1,13,0,13,0,12,1,12,0,13,-1,13,0,14,-1,12,2,9,3,11,-2,9,2,11,-2,14,-3,14,0,10,4,12,-2,11,1,12,-1
"shed metal",https://www.buyshedsdirect.co.uk/sheds/metal,810,18,0,17,1,18,-1,17,1,15,2,17,-2,17,0,18,-1,18,0,14,4,17,-3,16,1,13,3,13,0,13,0,13,0,12,1,13,-1,13,0,12,1,17,-5,12,5,16,-4,10,6,16,-6,13,3,17,-4,15,2,13,2,11,2
"steel sheds for sale",https://www.buyshedsdirect.co.uk/sheds/metal,480,"No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data",1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,-1,2,0,2,0,1,1,1,0
"Steel garden sheds",https://www.buyshedsdirect.co.uk/sheds/metal,470,"No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data",6,0,7,-1,6,1,7,-1,3,4,7,-4,19,-12,4,15,4,0,6,-2,6,0,6,0,10,-4,12,-2,7,5
"metal shed with floor",https://www.buyshedsdirect.co.uk/sheds/metal,180,20,0,19,1,19,0,20,-1,20,0,20,0,20,0,-,0,19,81,16,3,18,-2,17,1,29,-12,18,11,19,-1,19,0,20,-1,18,2,21,-3,20,1,12,8,22,-10,12,10,19,-7,19,0,19,0,6,13,19,-13,19,0,19,0
"metal sheds for sale",https://www.buyshedsdirect.co.uk/sheds/metal,150,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,1,1,0,2,-1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,1,2,-1,1,1,2,-1,1,1,2,-1,8,-6,2,6,1,1,1,0
"Steel sheds",https://www.buyshedsdirect.co.uk/sheds/metal,110,"No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data",9,0,10,-1,10,0,18,-8,10,8,2,8,9,-7,2,7,8,-6,2,6,2,0,2,0,11,-9,10,1,10,0
"steel storage sheds",https://www.buyshedsdirect.co.uk/sheds/metal,90,"No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data",4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,3,1,4,-1,4,0,4,0,3,1,3,0
"metal garden sheds for sale",https://www.buyshedsdirect.co.uk/sheds/metal,60,3,0,3,0,3,0,3,0,3,0,3,0,1,2,2,-1,2,0,1,1,1,0,2,-1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,4,-2,2,2,1,1,2,-1,2,0,2,0,1,1,1,0
"metal bike shed",https://www.buyshedsdirect.co.uk/garden-storage/bike-storage-sheds,40,8,0,8,0,13,-5,8,5,8,0,7,1,11,-4,8,3,7,1,7,0,13,-6,13,0,13,0,13,0,7,6,7,0,19,-12,15,4,15,0,12,3,19,-7,3,16,8,-5,6,2,7,-1,9,-2,3,6,9,-6,12,-3,8,4
"steel workshop sheds",https://www.buyshedsdirect.co.uk/sheds/metal,30,"No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data",13,0,17,-4,-,0,15,85,17,-2,13,4,16,-3,14,2,16,-2,13,3,14,-1,12,2,11,1,18,-7,11,7
"garden shed metal",https://www.buyshedsdirect.co.uk/sheds/metal,30,13,0,15,-2,16,-1,13,3,17,-4,15,2,15,0,15,0,17,-2,12,5,12,0,16,-4,16,0,15,1,16,-1,16,0,12,4,17,-5,17,0,13,4,18,-5,11,7,12,-1,15,-3,15,0,18,-3,18,0,12,6,17,-5,8,9
"metal shed storage building",https://www.buyshedsdirect.co.uk/sheds/metal,30,12,0,13,-1,13,0,12,1,12,0,13,-1,12,1,12,0,12,0,-,0,13,87,13,0,13,0,13,0,13,0,13,0,12,1,13,-1,13,0,12,1,12,0,11,1,5,6,11,-6,13,-2,12,1,12,0,14,-2,12,2,12,0
"metal sheds uk",https://www.buyshedsdirect.co.uk/sheds/metal,20,9,0,9,0,9,0,9,0,11,-2,9,2,11,-2,12,-1,11,1,-,0,-,0,11,89,11,0,11,0,11,0,12,-1,11,1,9,2,11,-2,9,2,11,-2,11,0,9,2,9,0,11,-2,9,2,15,-6,11,4,11,0,8,3
"metal garden storage shed",https://www.buyshedsdirect.co.uk/sheds/metal,20,17,0,17,0,16,1,17,-1,19,-2,15,4,13,2,19,-6,13,6,18,-5,15,3,13,2,16,-3,14,2,15,-1,15,0,16,-1,14,2,14,0,17,-3,15,2,11,4,12,-1,10,2,19,-9,12,7,14,-2,12,2,11,1,16,-5
"small metal shed",https://www.buyshedsdirect.co.uk/sheds/metal,10,10,0,12,-2,11,1,12,-1,13,-1,7,6,7,0,13,-6,-,0,6,94,-,0,6,94,7,-1,7,0,10,-3,8,2,7,1,12,-5,12,0,7,5,9,-2,12,-3,9,3,7,2,15,-8,8,7,13,-5,12,1,8,4,6,2
"metal storage sheds",https://www.buyshedsdirect.co.uk/sheds/metal,10,9,0,9,0,9,0,9,0,10,-1,12,-2,10,2,10,0,17,-7,9,8,11,-2,12,-1,11,1,11,0,11,0,11,0,14,-3,14,0,13,1,11,2,8,3,10,-2,8,2,10,-2,10,0,9,1,12,-3,18,-6,11,7,10,1
"metal garden sheds uk",https://www.buyshedsdirect.co.uk/sheds/metal,10,12,0,12,0,12,0,13,-1,17,-4,14,3,11,3,14,-3,14,0,12,2,12,0,12,0,11,1,11,0,11,0,11,0,12,-1,11,1,12,-1,10,2,10,0,11,-1,11,0,10,1,12,-2,8,4,8,0,11,-3,12,-1,2,10
"metal storage shed with floor",https://www.buyshedsdirect.co.uk/sheds/metal,10,16,0,16,0,20,-4,16,4,16,0,16,0,15,1,19,-4,-,0,18,82,12,6,11,1,10,1,10,0,10,0,12,-2,10,2,10,0,11,-1,20,-9,5,15,17,-12,11,6,20,-9,8,12,17,-9,13,4,17,-4,17,0,15,2
"Wooden Sheds",--,27300,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,10,-6,4,6,4,0,4,0,4,0,4,0,4,0,5,-1,5,0,3,2,9,-6,5,4,11,-6,3,8,2,1,3,-1,4,-1
"wooden shed",https://www.buyshedsdirect.co.uk/sheds/wooden,20100,2,0,2,0,2,0,2,0,1,1,2,-1,1,1,2,-1,2,0,2,0,7,-5,7,0,7,0,7,0,6,1,6,0,2,4,2,0,4,-2,2,2,3,-1,4,-1,2,2,2,0,4,-2,2,2,2,0,1,1,2,-1,6,-4
"wooden sheds",https://www.buyshedsdirect.co.uk/sheds/wooden,6600,1,0,1,0,2,-1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,2,-1,1,1,1,0,2,-1,1,1,1,0,2,-1,2,0,2,0,2,0,4,-2,2,2,2,0,2,0,5,-3,5,0,2,3,2,0,2,0,2,0
"wooden tool shed",https://www.buyshedsdirect.co.uk/garden-storage/tool-store,320,11,0,11,0,12,-1,9,3,9,0,9,0,9,0,9,0,9,0,9,0,8,1,9,-1,9,0,9,0,7,2,7,0,3,4,7,-4,7,0,13,-6,9,4,9,0,9,0,9,0,10,-1,10,0,11,-1,3,8,10,-7,10,0
"wooden sheds for sale",https://www.buyshedsdirect.co.uk/sheds/wooden,100,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,-1,2,0,2,0,3,-1,2,1,2,0,1,1,1,0,1,0,1,0
"small wooden garden shed",https://www.buyshedsdirect.co.uk/sheds/small-sheds,50,12,0,12,0,9,3,11,-2,14,-3,15,-1,12,3,13,-1,14,-1,12,2,11,1,12,-1,10,2,-,0,11,89,11,0,12,-1,11,1,11,0,13,-2,8,5,2,6,2,0,-,0,7,93,9,-2,3,6,2,1,8,-6,8,0
"small wooden sheds",https://www.buyshedsdirect.co.uk/sheds/small-sheds,20,6,0,2,4,2,0,6,-4,3,3,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,4,-1,4,0,7,-3,2,5,3,-1,1,2,1,0,8,-7,2,6,2,0,2,0,12,-10,1,11,1,0,1,0,1,0
"wooden shed garden sheds",https://www.buyshedsdirect.co.uk/sheds/wooden,10,2,0,2,0,2,0,2,0,2,0,1,1,1,0,2,-1,2,0,2,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,-2,3,0,2,1,1,1,3,-2,2,1,1,1,2,-1,2,0,3,-1
"wooden garden storage shed",https://www.buyshedsdirect.co.uk/sheds/wooden,10,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,4,-2,8,-4,3,5,2,1,4,-2,3,1,2,1,2,0,3,-1,2,1
"wooden garden sheds near me",https://www.buyshedsdirect.co.uk/sheds/wooden,10,10,0,10,0,9,1,9,0,9,0,10,-1,10,0,10,0,10,0,8,2,9,-1,9,0,9,0,9,0,9,0,9,0,11,-2,9,2,9,0,9,0,6,3,7,-1,9,-2,7,2,9,-2,12,-3,5,7,9,-4,8,1,11,-3
"large wooden shed",https://www.buyshedsdirect.co.uk/sheds/large-sheds,10,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,-2,1,2,1,0,1,0,1,0,1,0,1,0,7,-6,6,1,1,5,4,-3,6,-2,3,3,2,1,2,0,2,0,2,0
"garden wooden shed",https://www.buyshedsdirect.co.uk/sheds/wooden,10,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,-1,2,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,-2,1,2,1,0,1,0,3,-2,4,-1,4,0,1,3,2,-1,2,0
"garden shed wooden",https://www.buyshedsdirect.co.uk/sheds/wooden,10,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,-1,2,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,4,-3,2,2,2,0,1,1,2,-1,6,-4,1,5,1,0,1,0,7,-6
"wooden sheds near me",https://www.buyshedsdirect.co.uk/sheds/wooden,10,2,0,2,0,2,0,2,0,2,0,9,-7,9,0,9,0,9,0,8,1,5,3,5,0,5,0,5,0,9,-4,9,0,9,0,8,1,8,0,6,2,7,-1,5,2,2,3,6,-4,2,4,2,0,3,-1,2,1,2,0,2,0
"large wooden sheds",https://www.buyshedsdirect.co.uk/sheds/large-sheds,10,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,8,-7,1,7,1,0,1,0,1,0,1,0,1,0,6,-5,10,-4,1,9,4,-3,8,-4,1,7,1,0,1,0,1,0,1,0
"wooden sheds for sale near me",https://www.buyshedsdirect.co.uk/sheds/wooden,10,3,0,3,0,4,-1,3,1,3,0,2,1,2,0,2,0,2,0,3,-1,1,2,1,0,2,-1,2,0,2,0,2,0,2,0,2,0,2,0,1,1,9,-8,5,4,2,3,2,0,2,0,2,0,3,-1,1,2,3,-2,2,1
"cheap wooden sheds",https://www.buyshedsdirect.co.uk/sheds/wooden,10,7,0,7,0,7,0,7,0,7,0,6,1,7,-1,6,1,6,0,6,0,6,0,6,0,6,0,7,-1,7,0,2,5,7,-5,9,-2,8,1,8,0,4,4,6,-2,7,-1,9,-2,8,1,5,3,6,-1,8,-2,6,2,6,0
"small wooden shed",https://www.buyshedsdirect.co.uk/sheds/small-sheds,10,3,0,3,0,7,-4,6,1,2,4,2,0,2,0,2,0,2,0,2,0,3,-1,3,0,3,0,3,0,3,0,3,0,3,0,2,1,2,0,2,0,2,0,8,-6,3,5,1,2,2,-1,-,0,9,91,2,7,2,0,1,1
